,,,,,,,,,,,,,,,,,,,
,                  Cards,,,,,,,,,,,,,,,,,,
,⏳= .,"- Geffen DJ, Orc cave, Mine, Sphinx, Pyramid, Labyrinth",,,,,⚠️Certaines carte jugés inintéressante ont été écartées et certains effets non essentiels ne sont pas forcément écrit ⚠️,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Armor [ Elément ],,,,,[ Element ] résistance,,,,,Résistance [ Status ],,,,,5% chance to Inflict [ Status ],,,
,,,,,,,,,,,,,,,,,,,
,Angeling,[ Holy ],armor,⏳,,Orc baby,[ Neutral ] +10% / +15 if refine +9,garment,,,Marc,[ Frozen ] immune,armor,,,Marina,[ Frozen ],weapon,
,Ghostring,[ Ghost ],armor,⏳,,Parasite,[ Neutral ] +5%,shield,,,Marduc,[ Silence ] Immune,head,⏳,,Metaller,[ Silence ],weapon,
,Argiope,[ Poison ],armor,,,Marse,[ Water ] +30%,garment,,,Deviruchi,[ Blind ] Immune,head,⏳,,Familiar,[ Blind ],weapon,
,Dokebi,[ Wind ],armor,,,Marc,[ Water ] +5%,armor,,,Gierth,[ Confusion ] immune,head,,,Requiem,[ Confusion ],weapon,
,Pasana,[ Fire ],armor,⏳,,Jakk,[ Fire ] +30%,garment,⏳,,Nightmare,[ Sieep ] Immune,head,⏳,,Plankton,[ Sleep ],weapon,
,Sandman,[ Earth ],armor,,,Dustiness,[ Wind ] +30%,garment,,,Medusa,[ Petrification ] Immune,shield,,,Savage babe,[ Stun ],weapon,
,Swordfish,[ Water ],armor,,,Steel chonchon,[Wind] +10%,armor,,,Stalactic golem,[ Stun ] -20%,head,,,Magnolia,[ Curse ],weapon,
,,,,,,Hode,[ Earth ] +30%,garment,,,Martin,[ Blind ] -20%,head,,,Snake,[ Poison ],weapon,
,,,,,,Gierth,[ Earth ] +15%,head,,,Wootan shooter,[ Confusion ]  -20%,head,,,,,,
,,,,,,Dryad,[ Earth ] +10%,head,,,Wootan fighter,[ Bleeding ]  -20%,head,,,,,,
,,,,,,Munak,[ Earth ] +5%,shield,,,Coco,[ Sleep ] -20%,head,,,,,,
,,,,,,Isis,[ Shadow ] +30%,garment,⏳,,Stainer,[ Sleep ] -20%,head,,,,,,
,,,,,,Marionette,[ Ghost ] +30%,garment,⏳,,Ghoul,[ Poison ] -20%,head,,,,,,
,,,,,,Myst,[ Poison ] +30%,garment,⏳,,,,,,,,,,
,,,,,,Orc Zombie,[ Undead ] +30%,garment,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Max HP / Max SP,,,,,[ Race ] Reduction,,,,,Physical damge VS [ Race ],,,,,Physical damge VS [ Element ],,,
,,,,,,,,,,,,,,,,,,,
,Matyr,Max HP +10% ; AGI +1,shoes,⏳,,Anubis,[ Angel ] -30%,shield,⏳,,Caramel,[ Insect ] +20%,weapon,,,Drainilar,[ Water ] +20%,weapon,
,Peco peco,Max HP +10%,armor,,,Bigfoot,[ Insect ] - 30%,shield,,,Flora,[ Fish ] +20%,weapon,,,Mandragora,[ Wind ] +20%,weapon,
,Andre Egg,Max HP +5%,shield,,,Medusa,[ Demon ] - 30%,shield,,,Goblin,[ Brute ] +20%,weapon,,,Orc skeleton,[ Holy ] +20%,weapon,⏳
,Pupa,Max HP + 700,armor,,,Orc warrior,[ Brute ] -30%,shield,,,Ground petite,[ Dragon ] +20%,weapon,,,Vadon,[ Fire ] + 20%,weapon,
,Thief bug egg,Max HP + 400,shield,,,Sky petite,[ Dragon ] -30%,shield,,,Hydra,[ Demi-Human ] +20%,weapon,,,,,,
,Fabre,Max HP +100 / VIT +1,weapon,,,Thara frog,[ Demi-Human ] -30%,shield,,,Peco peco egg,[ Formless ] +20%,weapon,,,Physical damge VS [ Size ],,,
,Picky egg,Max HP +100 / VIT +1,armor,,,,,,,,Scorpion,[ Plant ] +20%,weapon,,,,,,
,Verit,Max HP +8% / Max SP +8%,shoes,⏳,,,,,,,Strouf,[ Demon ] +20%,weapon,,,Minorous,[ Large ] +15%,weapon,⏳
,Roda frog,Max HP +400 / Max SP +50,armor,,,,,,,,,,,,,Skel Worker,[ Medium ] +15%,weapon,⏳
,Sohee,Max SP + 15%,shoes,,,,,,,,,,,,,,,,
,willow,Max SP +80,head,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Stats,,,,,SP +5 when deafeting [Race] monster with physical attack,,,,,ATK / DMG,,,,,FLEE,,,
,,,,,,,,,,,,,,,,,,,
,Mantis,STR +3,accessory,,,Bettle king,[ Fish ],weapon,,,Andre,ATK +20,weapon,,,Whisper,FLEE +20,garment,
,Tarou,STR +2,accessory,,,Driller,[ Dragon ],weapon,,,Wolf,ATK +15 / CRIT +1,weapon,,,Nine Tail,FLEE +20 if refine +9 / AGI +2,garment,
,Raggler,STR +1 / VIT +1,shoes,,,Nereid,[ Brute ],weapon,,,Zenorc,ATK +10 / [ Poison ] 4% chance,weapon,⏳,,Orc baby,"[ Neutral ] +10% / +15 if refine +9
FLEE + 10 / FLEE +15 IF +9",garment,
,Baphomet Jr.,AGI +3 / CRIT +1,garment,⏳,,Tri Joint,[ Formless ],weapon,,,Skeleton,ATK +10 / [ Stun ] 2% chance,weapon,,,Condor,FLEE +10,garment,
,Male Thief Bug,AGI +2,shoes,,,,,,,,Stone Shooter,ATK +10 / HIT +10,weapon,,,Choco,FLEE + 10 / P.Dodge +5,garment,
,Kukre,AGI +2,accessory,,,Skills,,,,,Picky,ATK +10 / STR +1,armor,,,,,,
,Yoyo,AGI +1 / P.dodge +5,accessory,,,,,,,,Rocker, ATK +5 / DEX +1,armor,,,Sans catégorie,,,
,Wild rose,AGI +1 P.dodge +5 if thief,shoes,,,Creamy,[ Teleport ] Lv 1,accessory,,,Golem,ATK +5 / weapon can't be destroyed,weapon,,,,,,
,Savage,VIT +3,armor,,,Smokie,[ Hiding ] Lv 1,accessory,,,Archer skeleton,Ragned Physical DMG + 10%,weapon,,,Aligator,Ranged Physical DMG - 5%,accessory,
,Spore,VIT +2,accessory,,,Obeaune,[ Cure ] Lv 1,accessory,,,,,,,,Horn,Ranged Physical DMG - 35%,shield,
,Elder willow,INT +2,head,,,Horong,[ Sight ] Lv 1,accessory,,,CRIT,,,,,Cornutus,Armor can't be destroyed DEF +1,armor,
,Baby desert wolf,INT +1,armor,,,Frilldora,[ Cloaking ] Lv 1,garment,,,,,,,,Eggyra,SP recovery +15%,shoes,
,Zerom,DEX +3,accessory,⏳,,Marine sphere,[ Magnum Break ] Lv 3,accessory,,,Skeleton soldier,CRIT +9,weapon,,,Hunter fly,5% recover 100 HP/sec during 5 sec,weapon,
,Worm tail,DEX +2,accessory,,,Sidewinder,[ Double attack ] Lv 1 or Lv learned,weapon,,,Mobster,% CRIT +15% ; CRIT +4 si thief,weapon,,,Mimic,Chance to drop OBB,accessory,⏳
,Drop,DEX +1 HIT +3 ,weapon,,,Vitata,[ Heal ] Lv 1 / SP cost +25%,accessory,,,"Goblin archer
Goblin Steamrider",% CRIT +10%,weapon,,,Mummy,HIT +20,weapon,⏳
,Poring,LUK +2,armor,,,,,,,,,,,,,Phen,"Cast time cannot be inbroken
VTC -25%",accessory,
,Lunatic,LUK +1 CRIT +1 P.Dodge +1,weapon,,,,,,,,,,,,,,,,
