,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,⚠️ Tout les prix incluent [ Discount ] Lv 10 quand cela est possible ⚠️,,,,,,,,,,,,,,,,,,,,,,(images en provenance de [ RateMyServer ],,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,                        Craft,,,,,,,,,,,,,,,,,,,,,,⏳,= sortie proche,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"   Classique (armes lvl 2 et 3 opti / liste complète : Blacksmith Weapon Forging Guide - Ragnarok Online )
   (voir onlget [Enchant] pour les enchantements ; arme lvl 3 seulement ou pas du tout, à vérifier IG ?)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Composants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,=,1,,,,=,10,,,,150 Z,,Par craft,,,,, Rough oridecon,,,"( Minorous 0,98% ⏳/ Petite 0,7%⏳ / Instances )",,,,,,,,, Steel,,"( Golem 0,75% / Skel worker 0,5% ⏳ )",,,,,,,,,
,,=,5,,,,=,10,,,,,,,,,,, Oridecon,,,"( Nightmare 0,3% ⏳ / Instances )",,,,,,,,, Iron,,"( Golem 1,75% / Skel worker 2% ⏳)",,,,,,,,,
,,,1,,,,=,10,,,,20 000 Z,,Par craft d'arme,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,=,10,,,,=,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dagger,,,,,,,,,,,,,,,1H Sword,,,,,,,,,,,,,,,2H Sword,,,,,,,,,,,
,"Stilleto
(lvl 12)",,,Lv 2,40,,,"Damascus
(lvl 24)",,,Lv 3,60,,,,"Ring Pommel Saber
(lvl 14)",,,Lv 2,40,,,"Flamberge
(lvl 27)",,,Lv 3,16,,,,"Bastard sword
(lvl 18)",,,Lv 2,45,,,"Claymore
(lvl 33)",,,Lv 3,20
,ATK = 87,,,,,,,ATK = 118,,,,4,,,,ATK = 100,,,,50,,,ATK = 150,,,,1,,,,ATK = 115,,,,,,,ATK = 180,,,,16
,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2H Axe,,,,,,,,,,,,,,,2H Spear,,,,,,,,,,,,,,,  Zircon,,,"( Morroc Jew ? / Male thief bug 0,03% )",,,,,,,,
,"Hammer
(lvl 16)",,,Lv 2,30,,,"Two Handed Axe
(lvl 30)",,,Lv 3,10,,,,"Partizan
(lvl 18)",,,Lv 2,55,,,"Lance
(lvl 33)",,,Lv 3,12,,,, Cursed ruby,,,"( Zombie 0,06% )",,,,,,,,
,ATK = 120,,,,,,,ATK = 185,,,,8,,,,ATK = 124,,,,,,,ATK = 185,,,,3,,,, Amethyst,,,"( Megalodon 0,05% / Argiope 0,05% )",,,,,,,,
,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,, Cracked diamond,,,"( Isis 0,75% ⏳ )",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mace (Stunner réservé aux acolytes),,,,,,,,,,,,,,,,,,,,,,Knuckle,,,,,,,, Wolf claw,,, ( Wolf 90% ),,,,,,,,
,"Chain
(lvl 14)",,,Lv 2,45,,,"Sword mace
(lvl 27)",,,Lv 3,100,,,,"Stunner
(lvl 27)",,,Lv 3,120,,,"Fist
(lvl 24)",,,Lv 3,4,,,, Sharp scale,,, ( Swordfish 45% / Phen 10% ),,,,,,,,
,ATK = 84,,,,,,,ATK = 130,,,,20,,,,ATK = 140,,,,1,,,ATK = 115,,,,10,,,,Baphomet's horn,,," ( Baphomet Jr. 2,5% ⏳)",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Heroic emblem,,," ( Orc hero MvP 48,5% ⏳)",,,,,,,,
,"    Nouvelles armes Lv 3 (lvl 60) ( https://roz.gnjoy.com.tw/Notice/Notice_Info?id=218320 ) 
   (voir onlget [Enchant] pour les enchantements)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1H Weapon,,,,30,,36,,2,,,,⚠️ Rappel : [ Normal ] = non Boss,,,,,,,=,Instances,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Matagi's sword axe,,,(Dagger),,,ATK = 130,,,,,,Priest sword,,,(1H Sword),,,ATK = 150,,,,,,Shining window,,,(1H Spear),,,ATK = 150,,,,,,,,,,,
,"Each 2 refine : M.ATK +12.

Refine +7  : Physical / Magical DMG VS [ Normal ] + 3%.
Refine +9  : Physical / Magical DMG VS [ Normal ] + 7% ; MATK + 30",,,,,,,,,,,,"Each 2 refine : VCT -4%

Refine +7  : Physical DMG VS [ Normal ] + 4%.
Refine +9  : Physical DMG VS [ Normal ] + 8%",,,,,,,,,,,,"Each 2 refine : CRIT +3

Refine +7  : Physical DMG VS [ Normal ] + 4%.
Refine +9  : Physical DMG VS [ Normal ] + 8%",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sunset buster,,,(1H Axe),,,ATK = 165,,,,,,"Guardian staff
of light",,,(Mace),,,ATK = 150,,,,,,,,,,,,,,,,,,,,,,,
,"Each 2 refine : CRIT +3
Indestructible
Refine +7  : Physical DMG VS [ Normal ] + 4%.
Refine +9  : Physical DMG VS [ Normal ] + 8%",,,,,,,,,,,,"Each 2 refine : HIT +4
Indestructible
Refine +7  : Physical DMG VS [ Normal ] + 4%.
Refine +9  : Physical DMG VS [ Normal ] + 8%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2H Weapon,,,,30,,44,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Indigo sword,,,(2H Sword),,,ATK = 200,,,,,,Avengers lance,,,(2H Spear),,,ATK = 190,,,,,,,,,,,,,,,,,,,,,,,
,"Each 2 refine : HIT +4

Refine +7  : Physical DMG VS [ Normal ] + 5%.
Refine +9  : Physical DMG VS [ Normal ] + 10 %",,,,,,,,,,,,"Each 2 refine : HIT +4

Refine +7  : Physical DMG VS [ Normal ] + 5%.
Refine +9  : Physical DMG VS [ Normal ] + 10 %",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Double-edged axe
of solidarity",,,(2H Axe),,,ATK = 210,,,,,,Crimson Knuckles,,,(Mace),,,ATK = 130,,,,,,,,,,,,,,,,,,,,,,,
,"Each 2 refine : ASPD +4%
Indestructible
Refine +7  : Physical DMG VS [ Normal ] + 5%.
Refine +9  : Physical DMG VS [ Normal ] + 10%",,,,,,,,,,,,"Each 2 refine : Max SP +1%

Refine +7  : Physical DMG VS [ Normal ] + 4%.
Refine +9  : Physical DMG VS [ Normal ] + 8%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,   ALCHIMIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3  Z,,,,62 700 Z / tentatives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7 Z,,,,304 z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Slim + Blue potion,,,,,,,,,,,,,,,,,,Resist' potion,,,,,,,,,,,,,,,,,,,,,,,
,,=,,+,,+,,,,Cactus Needle,,,( Muka 90% ),,,,,,,=,,+,2,,+,,,, Frill,,, ( Driller 75% / Frilldora 55% ),,,,,,,,,,
,,=,,+,,+,,,,Mole Whisker,,,( Martin 90% ),,,,,,,=,,+,3,,+,,,, Heart of mermaid,,, ( Obeaune 90% ),,,,,,,,,,
,,=,,+,,+,,,,Witched starsand,,,"( Bathory 48,5%⏳)",,,,,,,=,,+,2,,+,,,, Large jellopy,,," ( Orc baby 5% / Rotar zairo 2,5% )",,,,,,,,,,
,,=,,+,,+,,,,,,,,,,,,,,=,,+,3,,+,,,, Moth dust,,, ( Dustiness 90% ),,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bombes,,,,,,,,,,,,,,,,,,Autres,,,,,,,,,, Heart of mermaid,,, ( Obeaune 90% ),,,,,,,,,,
,,=,5,,+,5,,,,Steam,,,( Mandragora 90% ),,,,,,,=,,+,,,,,,, Zenorc's fang,,, ( Zenorc 55% ⏳),,,,,,,,,,
,,+,,+,,,,,,Poison spore,,,( Poison spore 90% ⏳),,,,,,,+,,+,,,,,,, Maneater blossom,,, ( Flora 90% ),,,,,,,,,,
