,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DPS Calculateur,,,,,,,,,,,,,,,Partie ASPD,,,,,,Partie dégâts physiques,,,,,,,,,,,,,,Partie dégâts magique,,,,,
,,,,,,,,,,,,,,,,AGI,DEX,"Skill / potion
bonus","% Attack
Speed","Flat
ASPD",,STR,VIT,LUK,CRIT,,% CRIT,,% ATK,"ATK Equip
(hors arme)",,"% bonus
skill ATK","Mastery
Atk","% Ignore
Def",,INT,% M.ATK,"M.ATK Equip
(hors arme)","Mastery
M.Atk","% bonus
skill M.ATK","% Ignore
M.Def"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Personnage,,,,,,,,,,,,,Job bonus,,2,3,,,,,7,4,2,,,,,,,,,,,,0,,,,,
,Classe 1,Swordman,,Arme,,,Dagger,,,FOOD,Awakening potion,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,
,Classe 2,(none),,Main droite,,,(none),,,,Yggdrasil Blessing,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
,Level,50,STR,1,,INT,,1,,,Food All +10,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
,Job,50,AGI,1,,DEX,,1,,ASPD,[Blessing],,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pts,(420),VIT,1,,LUK,,1,,,[Increased Agility],,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arme,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
,ATK base arme,,100,,Elément,,Neutral,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
,M.ATK base arme,,100,,,,(100%),,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
,Level arme,,1,,Munitions,,Arrow,,,BOOST DPS,[Sword Mastery],,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
,Refine +,,0,,ATK,,0,,,,[Two-Sword Mastery],,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
,Star Crumb,,0,,Ranked,,,FALSE,,,[Spear Mastery],,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
,Multiplicateurs,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
, + % vs Size ,,,, + % Physical ,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
, + % vs Element ,,,, + % Magical ,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
, + % vs Race ,,,, + % Mélée ,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
, + % vs Boss / Normal  ,,,, + % Range ,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
,Adversaire,,,,,,,,,,,,,Stuff,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hard DEF,0,(0%),,Size,,Large,,,,,,,Libre,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Soft DEF,0,,,Element,,Earth,,,,,,,Total,,3,4,6,0%,0,,8,5,3,1,,0%,,0%,0,,0%,0,0%,,1,0%,0,0,0%,0%
,Hard M.DEF,0,(0%),,,,Level 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Soft M.DEF,0,,,,,,,,,,,,"
SKILL",Skill,,,,,,,ASPD,,149,,,Auto Attack,,95,(99%),,,,,,Auto-cast,,,,,
,,,,,,,,,,,,,,,⚔️ [Bash],,,,,,,AA / sec,,"0,98",,,Auto CRIT,,137,(1%),,,,,,FALSE,21 %,Lv 3 [Double Attack],,,
,Arme 2 (non fonctionnel,,,,,,,,,,,300,,,Skill Lvl x 30 + 100,,,,,,,,,,,,DPS,,93,,,,,,,FALSE,3 %,Lex Aeterna (Owl Baron),,,
,ATK base arme,,0,,Elément,,Neutral,,,,,9,,,Lv 10,(Lv 10),400%,,Neutral,(100%),,,,,,,,,,,,,,Dégats,,Lv 10 [Autospell] (Spell lvl 5 max),,,,,
,M.ATK base arme,,0,,,,(100%),,,,,,,,50% Stun / 50% HIT,,,,,,,Nbr Hit,,1,,,"Mode PvP / WoE
( -50 % Skill &
-25 % Ranged AA)",,,,,,,DPS,,FALSE,20 %,🔥 [Fire Bolt],,,
,Level arme,,0,,Star Crumb,,,0,,,Total,FALSE,,,Cast,,,,Delay,ASPD,,Dégâts Skill,,382,,,,,,,,,,,,Lvl 10 [Spell Fist] ,,,,,
,Refine +,,0,,Ranked,,,FALSE,,,,,,,Fix,,,,CD,,,Skill Crit,,X,,,FALSE,,,,,,,,,FALSE,50%,🔥 [Fire Bolt],,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dégats,,Lv 10 [Shadow Spell] (Spell lvl 7 max),,,,,
,,,,,,,,,,,,,,CAST,Casting time,,,,,,,Cast (sec),,"0,00",,,,,,,,,,DPS,,FALSE,30%,🔥 [Meteor Storm],,,
,TO DO LIST,,,,,,,,,,,,,,Buffs,,,Cast,Fix,Delay,,Delay,,ASPD,,,,,,,,,,,,,,,,,
,double casting sur autocast,,,,,,,,,,,,,,Suffragium,,FALSE,,,,,,,,,,,,,,,,260,Dégats,,Homonculus,,,,,
,(sécurité armes sur les skill),,,,,,,,,,,,,,Song Bard,,FALSE,,,,,,,,,,,,,,,,0,Skill,,Lvl,46,Vanilmirth,,,
,(sécurité buff en doublons),,,,,,,,,,,,,,Stuff / Libre  ,,,,,,,,,,,,,,,,,,393,DPS,,FALSE,[Caprice],,Lv 5,,
,faire les temps de cast par spell lvl,,,,,,,,,,,,,,Stats  ,,,"1,7%",,,,,,,,,,,,,,,,,,FALSE,[Instruction Change],,Lv 5,,
,perfectionner les homonculus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atk ,Matk,ASPD,CRIT,,
,finir par trouver / affiner les coef et base HP / SP,,,,,,,,,,,,,TEAM ,Buff de team / externes (en construction),,,,,,,,,,,,,,,,,,,,,130,669,167,33,,
,,,,,,,,,,,,,,,Magnum Break *,,,FALSE,"20 % Fire sur ATK
totale arme",,,Gloria,,,FALSE,,30 LUK,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Provoque,,,FALSE,-55 % Hard DEF,,,Impositio Manus,,,FALSE,,25 Mastery ATK / M.ATK,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Raid,,,FALSE,"Final Damages x 1,3",,,Adrenaline Rush,,,FALSE,,"7 skill + 10 % ASPD
 mace / Axe",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Assassin Cross Sunset,,,FALSE,20 % ASPD,,,Weapon Perfection,,,FALSE,,retrait manuls Size,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Sound of a Drum,,,FALSE,40 Mastery ATK ,,,Over Thrust,,,FALSE,,15% bonus skill,,,,,,,,,,,,,,
,,,,,,,,,,,,Ce bonus est considée Neutral comme pour EDP pour des raisons de simplifications *,,,Fortune Kiss,,,FALSE,10 CRIT + 20 % CRIT,,,,,,,,,,,,,,,,,,,,,,
