,,,,,,,,,,,
,                       Egg (taming ring),,,,,,,,,,
,,,,,,,,,,,
,Egg,Lvl 1,Lvl 2,Taming item,-> drop from,,Egg,Lvl 1,Lvl 2,Taming item,-> drop from
,Poring,"LUK +2
CRIT +1","LUK +3
CRIT +1",Unripe apple,"- Poring (0,2%)
- Mastering (0,25%)",,Baby desert wolf,"INT +1
Max SP +50","INT +2
Max SP +75",Well-dried bone,"- Pirate swod. (0,1%) "
,Drop,"HIT +3
ATK +3","HIT +5
ATK +5",Orange juice,"- Drops (0,2%) ",,Peco peco,Max HP +150,Max HP +200,"Fatty chubby
Earthworm","- Hode (0,1%) "
,Poporing,"LUK +2
Poison res. +10 % ","LUK +3
Poison res. +15 % ",Bitter herb,"- Green plant (0,1%) ",,Smokie,"AGI +1
P.Dodge +1","AGI +2
P.Dodge +1","Baked sweet
Potato","- Horong (0,1%)"
,Lunatic,"CRIT +2
ATK +2","CRIT +3
ATK +3",Rainbow carrot,"- Lunatic (0,2%)
- Eclipse (0,25%)",,Yoyo,CRIT +3,CRIT +5,Tropical banana,"- Choco (0,1%)
- Lady Tanee (20%)"
,Savage bebe,"VIT +1
Max HP +50","VIT +2
Max HP +75",Sweet milk,"- Savage bebe (0,2%) ",,Ground petite,ASPD +1 %,"ASPD +1 %
AGI +1",Shining stone,"- Zenorc (0,1%) "
,Rocker,"HP recov. +5 %
Max HP +25","HP recov. +8 %
Max HP +38",Singing flower,"- Flora (0,1%) ",,Isis,Phys. damage +1 %,Phys. damage +2 %,Armlet of obedience,"- Verit (0,1%)
- Maya (2,5%)"
,Spore,HIT +5,HIT +8,Dew-laden moss,"- Plankton (0,1%)
- Grey / Red mush. (0,2%)",,Orc warrior,ATK +10,ATK +15,Orc Trophy,OBB
,Poison spore,"STR +1
INT +1","STR +2
INT +2",Deadly noxious herb,"- Marina (0,1%)
- White plant (0,1%)",,Munak,"INT +1
DEF +1","INT +2
DEF +2",No recipient,OBB
,Little poring,HP recovery +50 %,HP recovery +75 %,Little unripe apple,"- Poring (0,2%)
- Mastering (0,25%)",,Dokebi,M.ATK +1 %,M.ATK +2 %,Old broom,"- Bathory (0,1%)
- Alice (0,2%)"
,Picky,"STR +1
ATK +5","STR +2
ATK +8",Earthworm the dude,"- Kukre (0,1%)",,Sohee,"STR +1
DEX +1","STR +2
DEX +2","Silver knife
Of chastity","- Moonlight (3,25%) "
,Chonchon,"AGI +1
FLEE +2","AGI +2
FLEE +3",Rotten fish,"- Megalodon (0,1%)
- Wild rose (0,18%)",,Deviruchi,"Phys. damage +1 %
M.ATK +1 %","→ and
Max HP / SP +1 %",Contract in shadow,"- Joker (0,1%) "
,Steel chonchon,FLEE +6,FLEE +9,Rusty iron,"- Scorpion (0,1%)
- Dragon fly (0,25%)",,Baphomet Jr.,"DEF / M.DEF +1
Stun res. +1 %","DEF / M.DEF +2
Stun res. +2 %",Book of the Devil,"- Marduk (0,1%) "
,Hunter fly,P.Dodge +2,"P.Dodge +2
HIT +1",Monster juice,"- Vagabon wolf (0,25%) ",,Bongun,"VIT +1
Stun res +1 %","VIT +2
Stun res +2 %",Her heart,OBB
,,,,,,,,,,,
,Source : https://roz.gnjoy.com.tw/Notice/Notice_Info?id=217539,,,,NPC >,,Prontera 218 211,Izlude_in 72 98,Morocc 203 87,Geffen 193 152,Payon 177 131
