,,,,,,,,,,,,,,,,,,,,,,,
,                  Faiblesses / résistances élément,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,   Level 1,,,,,,,,,,,,   Level 3,,,,,,,,,,
,Défenseur / Attaquant,Neutral,Water,Earth,Fire,Wind,Poison,Holy,Shadow,Ghost,Undead,,Défenseur / Attaquant,Neutral,Water,Earth,Fire,Wind,Poison,Holy,Shadow,Ghost,Undead
,Neutral,100%,100%,100%,100%,100%,100%,100%,100%,90%,100%,,Neutral,100%,100%,100%,100%,100%,100%,100%,100%,50%,100%
,Water,100%,25%,100%,90%,150%,150%,100%,100%,100%,100%,,Water,100%,0%,100%,70%,200%,125%,100%,100%,100%,100%
,Earth,100%,100%,25%,150%,90%,150%,100%,100%,100%,100%,,Earth,100%,100%,0%,200%,70%,125%,100%,100%,100%,100%
,Fire,100%,150%,90%,25%,100%,150%,100%,100%,100%,90%,,Fire,100%,200%,70%,0%,100%,125%,100%,100%,100%,70%
,Wind,100%,90%,150%,100%,25%,150%,100%,100%,100%,100%,,Wind,100%,70%,200%,100%,0%,125%,100%,100%,100%,100%
,Poison,100%,150%,150%,150%,150%,0%,75%,75%,75%,75%,,Poison,100%,125%,125%,125%,125%,0%,50%,50%,50%,25%
,Holy,100%,100%,100%,100%,100%,75%,0%,125%,90%,125%,,Holy,100%,100%,100%,100%,100%,50%,0%,175%,70%,175%
,Shadow,100%,100%,100%,100%,100%,75%,125%,0%,90%,0%,,Shadow,100%,100%,100%,100%,100%,50%,175%,0%,70%,0%
,Ghost,90%,100%,100%,100%,100%,75%,100%,100%,125%,100%,,Ghost,50%,100%,100%,100%,100%,50%,100%,100%,175%,150%
,Undead,100%,100%,100%,125%,100%,75%,125%,0%,100%,0%,,Undead,100%,100%,100%,175%,100%,25%,175%,0%,150%,0%
,,,,,,,,,,,,,,,,,,,,,,,
,   Level 2,,,,,,,,,,,,   Level 4,,,,,,,,,,
,Défenseur / Attaquant,Neutral,Water,Earth,Fire,Wind,Poison,Holy,Shadow,Ghost,Undead,,Défenseur / Attaquant,Neutral,Water,Earth,Fire,Wind,Poison,Holy,Shadow,Ghost,Undead
,Neutral,100%,100%,100%,100%,100%,100%,100%,100%,70%,100%,,Neutral,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%
,Water,100%,0%,100%,80%,175%,150%,100%,100%,100%,100%,,Water,100%,0%,100%,60%,200%,125%,100%,100%,100%,100%
,Earth,100%,100%,0%,175%,80%,150%,100%,100%,100%,100%,,Earth,100%,100%,0%,200%,60%,125%,100%,100%,100%,100%
,Fire,100%,175%,80%,0%,100%,150%,100%,100%,100%,80%,,Fire,100%,200%,60%,0%,100%,125%,100%,100%,100%,60%
,Wind,100%,80%,175%,100%,0%,150%,100%,100%,100%,100%,,Wind,100%,60%,200%,100%,0%,125%,100%,100%,100%,100%
,Poison,100%,150%,150%,150%,150%,0%,75%,75%,75%,50%,,Poison,100%,125%,125%,125%,125%,0%,50%,50%,50%,0%
,Holy,100%,100%,100%,100%,100%,75%,0%,150%,80%,150%,,Holy,100%,100%,100%,100%,100%,50%,0%,200%,60%,200%
,Shadow,100%,100%,100%,100%,100%,75%,150%,0%,80%,0%,,Shadow,100%,100%,100%,100%,100%,50%,200%,0%,60%,0%
,Ghost,70%,100%,100%,100%,100%,75%,100%,100%,150%,125%,,Ghost,0%,100%,100%,100%,100%,50%,100%,100%,200%,175%
,Undead,100%,100%,100%,150%,100%,50%,150%,0%,125%,0%,,Undead,100%,100%,100%,200%,100%,0%,200%,0%,175%,0%
,,,,,,,,,,,,,,,,,,,,,,,
,                  Size penalty,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Weapon,Small,Medium,Large,,Weapon,,Small,Medium,Large,,,,,,,,,,,,,
,(none),100%,100%,100%,,Mace,,75%,100%,100%,,,2H Mace ?,75,100,100,,,,,,,
,Dagger,100%,75%,50%,,1H Staff,,100%,100%,100%,,,Gun ?,100,100,100,,,,,,,
,1H Sword,75%,100%,75%,,2H Staff,,100%,100%,100%,,,Shuriken ?,75,75,100,,,,,,,
,2H Sword,75%,75%,100%,,Bow,,100%,100%,75%,,,Spear (Peco) non référencé sur le guide GNJOY,,,,,,,,,,
,1H Spear,75%,75%,100%,,Katar,,75%,100%,75%,,,,,,,,,,,,,
,2H Spear,75%,75%,100%,,Book,,100%,100%,50%,,,,,,,,,,,,,
,Spear (Peco),75%,100%,100%,,Knuckle,,100%,100%,75%,,,,,,,,,,,,,
,1H Axe,50%,75%,100%,,Instrument,,75%,100%,75%,,,,,,,,,,,,,
,2H Axe,50%,75%,100%,,Whip,,75%,100%,50%,,,,,,,,,,,,,
