,,,,,,,,,,,,,,,
,                        Enchantements,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,     Enchant. costumes,,,,,,,,,,,,,,
,"costume headgear (nouveaux futurs enchant à venir) ( Prontera 254,260 )
https://roz.gnjoy.com.tw/Notice/Notice_Info?id=217523",,,,,,(bonus combos),,"costume accessoiry left :
Taming ring (voir ""Egg"")",,,"costume accessory right :
 Clover
patch (90/70)",,,
,upper,mid,low,,,,,,,,,,,,
,,STR +3  / INT -3,STR +3 / DEX -3,,,, INT +3 / DEX +3,,,,,幸運髮飾附加能力,,,
,Physical vs Small +1%, AGI +3  / LUK -3, AGI +3 / STR -3,,,,LUK +3 / STR +3,,,,,,,,
,Physical vs Mid +1%,VIT +3 / AGI -3, VIT +3 / LUK -3,,,, AGI +3 / LUK +3,,,,,,,,
,Physical vs Large +1%,INT +3 / DEX -3,INT +3 / VIT -3,,,, DEX +3 / VIT +3,,,,,,,,
, CRIT +1,DEX +3 / VIT -3,DEX +3/ AGI -3,,,, VIT +3 / AGI +3,,"- costume garment
( Prontera 254,260 )",,,"- costume shield
(patch 99/70)",,,
,,LUK +3 / STR -3,LUK +3 / INT -3,,,,STR +3 / INT +3,,,,,,,,
,,DEF +20 , M.DEF +4,,,,HIT +5 / FLEE +5,, ASPD +1,,,次元蒐藏家×繪師典藏板,,,
,ATK +1%,ATK +1%,ATK +1%,,,,ATK +2% ,,"Double attaque lvl 3 (ou lvl
appris / all weapon)",,,,,,
,M.ATK +1% ,M.ATK +1% ,M.ATK +1% ,,,,M.ATK +2% ,,,,,,,,
,Variable cast time -3% ,Variable cast time -3% ,Variable cast time -3% ,,,,variable cast time  -6% ,,Variable cast time -10% ,,,,,,
,Critical damage +3%,Critical damage +3%,Critical damage +3% ,,,,Critical damage  +6% ,,,,,,,,
,STR +1,STR +1,,,,, CRIT +10,,Critical damage +20% ,,,,,,
,AGI +1,AGI +1,,,,,,,,,,,,,
,VIT +1,VIT +1,FLEE +1,,,,,,,,,,,,
,INT +1,INT +1,HIT +1,,,,,,,,,, ,,
,DEX +1,DEX +1,,,,,,,,,,,,,
,LUK +1,LUK +1,,,,,,,,,,,,,
,"Healing spell
and recovery +2%", +10 HP / 10 sec, +1 SP / Kill,,,,,,,,,,,,
,,Max HP +1% ,Max HP +1%,,,,,,,,,,,,
,Healing spell +3%,Max SP +1% ,,,,,,,,,,,,,
,,Max HP +50 ,Max SP +10,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,     Enchant. instance [Poring Village] (lvl 29),,,,,,,,,,,,,,
,"Poring village Carrot / Green Onion
(Low headgear) ( Prontera 254,260 )
https://roz.gnjoy.com.tw/Notice/Notice_Info?id=217651",,,,,,,,,,,,,,
,STR +1,Max HP +100,,,,,,,,,,,,,
,AGI +1,Max HP +200,,,,,,,,,,,,,
,VIT +1,Max SP +10,,,,,,,,,,,,,
,INT +1,Max SP +25,,,,,,,,,,,,,
,DEX +1,Max SP +50,,,,,,,,,,,,,
,LUK +1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,     Enchant. instances [GTB Culvert] + [Orc Donjon] (lvl 59),,,,,,,,,,,,,,
,"Subjugation boots [GTB] https://roz.gnjoy.com.tw/Notice/Notice_Info?id=217842 ...... Subjugation armor + manteau [Orc] https://roz.gnjoy.com.tw/Notice/Notice_Info?id=217841
( Prontera 48,227 -> prt_in 135,35 ) https://roz.gnjoy.com.tw/Notice/Notice_Info?id=218153",,,,,,,,,,,,,,
,"(refine 0 ~ 8)
(all equipment)",,,(refine ≥ +9),,,,,,,,,,,
,,,,Subjugation armor [Orc],,,,,Subjugation manteau [Orc] / Subjugation boot [GTB],,,,,,
,STR +1,,,STR +2,,,,,DEF +15,,,,,,
,AGI +1,,,AGI +2,,,,,M.DEF +2,,,,,,
,VIT +1,,,VIT +2,,,,,FLEE +3,,,,,,
,INT +1,,,INT +2,,,,,CRIT +1,,,,,,
,DEX +1,,,DEX +2,,,,,,,,,,,
,LUK +1,,,LUK +2,,,,,,,,,,,
,Max HP +50,,,Max HP +100,,,Max HP +300,,Max HP +50,,,,,,
,Max HP +100,,,Max HP +200,,,Max HP +400,,Max HP +100,,,,,,
,Max HP +200,,,Swordman's Essence Lvl 1,,,Magician's Essence Lvl 1,,Max HP +200,,,,,,
,,,,Merchant's Essence Lvl 1,,,Acolyte's Essence Lvl 1,,Max HP +300,,,,,,
,,,,Thief's Essence Lvl 1,,,Archer's Essence Lvl 1,,Max HP +400,,,,,,
,,,,,,,,,,,,,,,
,     Enchant. détail Essence Classe 1 détails (voir enchant instance [GTB / ORC]),,,,,,,,,,,,,,
,Swordman's Essence Lvl 1,,,Merchant's Essence Lvl 1,,,,,Thief's Essence Lvl 1,,,,,,
,"- Reduce SP cost of [Magnum Break] by 10
- For every 2 lvl of [Bash] : ASPD +1%",,,"- For every lvl of [Discount] : ATK +2
- For every 2 lvl of [Overcharge] : ASPD +1%",,,,,"- When equiped by thief class : ATK +30
- For every lvl of 2 [Steal] : ASPD +1%",,,,,,
,,,,,,,,,,,,,,,
,Mage's Essence Lvl 1,,,Acolyte's Essence Lvl 1,,,,,Archer's Essence Lvl 1,,,,,,
,"- [Fire bold], [Cold bolt], [Light. bolt] damages +20%
- Every 2 lvl of [Fire Wall] : Variable cast time -1%",,,"- Reduce SP cost of [Heal], [Inc. Agi], [Blessing] by 15%
- For every 2 lvl of [Heal] : Healing spell +1%",,,,,"- Reduce SP cost of [Double Strafe] by 5
- For every lvl of [Vulture Eye] : Bow damage +1%",,,,,,
,,,,,,,,,,,,,,,
,     Enchant. weapon normal monster et ★ weapon,,,,,,,,,,,,,,
,"1 ~ 3 enchantements aléatoires : https://roz.gnjoy.com.tw/Notice/Notice_Info?id=217524
une ★ weapon reprend les enchantement de son arme d'origine et relance aléatoirement les valeures numériques :
https://roz.gnjoy.com.tw/Notice/Notice_Info?id=217524",,,,,,,,,,,,,,
,,Armes physiques mele et distance,,,★,,Armes magiques,,,★,,,,,
,Enchantement 1,ATK,,5~30,1~39,,M.ATK,,5~30,1~39,,,,,
,,% ATK,,1~5,1~7,,% M.ATK,,1~5,1~6,,,,,
,,,,,,,,,,,,,,,
,Enchantement 2,ASPD,,1,1~2,,Variable cast time,, - 5~10% , - 4~12% ,,,,,
,,% Attack speed,,5~7,4~9,,Healing spell ,, +5~10%  , +4~12% ,,,,,
,,HIT,,5~20,3~24,,,,,,,,,,
,,FLEE,,10~20,8~24,,FLEE,,10~20,8~24,,,,,
,,CRIT,,2~5,1~7,,Magical damage vs [Neutral],,5~10% ,4~12% ,,,,,
,,Critical damage,,5~10% ,4~12% ,,,,,,,,,,
,,Physical damage vs [Neutral],,5~10% ,4~12% ,,,,,,,,,,
,,,,,,,,,,,,,,,
,Enchantement 3,Physical damage vs [Formless],,5~10% ,4~12% ,,Magical damage vs [Formless],,5~10% ,4~12% ,,,,,
,,Ignore x% DEF vs [Formless],,5~15% ,4~17%,,Ignore x% M.DEF vs [Formless],,5~15% ,4~17%,,,,,
,,Physical damage vs [Non-Boss],,3~7%,2~9%,,Magical damage vs [Non-Boss],,3~7%,2~9%,,,,,
,,Physical damage vs [Boss],,3~7%,2~9%,,Magical damage vs [Boss],,3~7%,2~9%,,,,,
,,,,,,,Healing spell,,5~10%,4~12% ,,,,,
,,,,,,,,,,,,,,,
,     Enchant. armor normal monster (et ★ armor),,,,,,,,,,,,,,
