,,,,,,,,,,,,
,,,INTRO,,,,,,,,,
,,,,,,,,,,,,
,,,"Bienvenue aventurier sur l'Encyclop'Elvyl !
",,,,,,,,,
,,,,,,,,,,,,
,,,"Ici tu trouvera ma banque de donnée
personnalisé pour t'aider dans ta quête",,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,Ta lecture peux se faire de deux manières :,,,,,,,,,
,,,,,,,,,,,,
,,,"- Rester sur cette version et profiter du document en ""lecture seule"".",,,,,,,- Utiliser ce modèle [ Encyclop'Elvyl ] (si ce n'est le cas) et cliquer en haut à droite pour avoir ta propre copie et intéragir avec les onglets 🔓,,
,,,📖,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,Sommaire :,,,,,
,,,,,,,,,,,,
,,,,🧭 [ Timeline TwRo ],... toutes les majs datés de TwRO,,,,,,📦 [ Card ],... la liste des cartes triés par effet jusqu'aux patch lvl 60
,,,,📜 [ Notice ],... pour comprendre le fonctionnement des simulateurs,,,,,,🪵 [ Craft ],"... liste de l'ensemble des craft du jeu
    en ne gardant que les plus utiles"
,,,🔓, ⚔️ [ DPS Calc ],... calculateur de DPS,,,,,,🔨 [ Stuff craft 60 ],"... équipement opti pour craft
    (limité actuellement jusqu'au patch lvl 60)"
,,,,🧪 [ Formules ],... formules de calcul majeures du jeu,,,,,🔓,⚗️ [Forge/ Potion ],... simulateur de craft pour Blacksmith et Alchemist
,,,,🔥 [ Elem / Size ],"... tableau des faiblesses élémentaire
    et pénalités de taille",,,,,,🥚 [ Egg (taming ring) ],"... liste des Qpet disponibles, leurs effets
    et ou trouver les objet pour les capturer"
,,,,💎 [ Refine ],... probabilités de forge et effet du raffinage,,,,,,💰 [ Zeny ],... test personnels de rentailibé de map pour débutants
,,,🔓,✨ [ Enchant ],... la liste des enchantements jusqu'au lvl 60,,,,,,,
