,,,,,,,,,,,,,,,,,,,,,
,FORGE Zero EU [ https://roz.mygnjoy.com/en/intro/guide/20 ],,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Armor / weapon lvl 4 (Elunium / oridecon),,,,,,,Weapon lvl 3 (oridecon),,,,,,,Weapon lvl 2 (emveretarcon),,,,,,
,,Oridecon / Elunium,,Concentrated & HD Ori / Elu,,,,,Oridecon,,Concentrated & HD Ori,,,,,Emverertarcon,,Concentrated & HD Ori,,,"⚠️HD Ori non présents pour le lvl 2
       sur le guide de GNJOY (erreur ou voulu ?)"
,Refine,% chance,+0 → + X,% chance,+0 → + X,,,Refine,% chance,+0 → + X,% chance,+0 → + X,,,Refine,% chance,+0 → + X,% chance,+0 → + X,,
,-> +1,90 %,90 %,100%,,100%,,-> +1,90 %,90 %,100%,,100%,,-> +1,90 %,90 %,100%,,100%,
,-> +2,90 %,81 %,100%,,100%,,-> +2,90 %,81 %,100%,,100%,,-> +2,90 %,81 %,100%,,100%,
,-> +3,90 %,73 %,100%,,100%,,-> +3,90 %,73 %,100%,,100%,,-> +3,90 %,73 %,100%,,100%,
,-> +4,80 %,58 %,100%,,100%,,-> +4,90 %,66 %,100%,,100%,,-> +4,90 %,66 %,100%,,100%,
,-> +5,60 %,35 %,90%,,90%,,-> +5,80 %,52 %,100%,,100%,,-> +5,90 %,59 %,100%,,100%,
,-> +6,40 %,14 %,70%,,63%,,-> +6,60 %,31 %,90%,,90%,,-> +6,80 %,47 %,100%,,100%,
,-> +7,40 %,6 %,70%,,44%,,-> +7,50 %,16 %,80%,,72%,,-> +7,60 %,28 %,90%,,90%,
,-> +8,,,40 %,"2,2 %","17,6%",,-> +8,,,40 %,"6,3 %",29%,,-> +8,,,70 %,"19,8 %",63%,
,-> +9,,,40 %,"0,9 %","7,1%",,-> +9,,,40 %,"2,5 %","11,5%",,-> +9,,,40 %,"7,9 %",25%,
,-> +10,,,20 %,"0,2 %","1,4%",,-> +10,,,30 %,"0,8 %","3,5%",,-> +10,,,30 %,"2,4 %","7,6%",
,,,,,,,,,,,,,,,,,,,,,
,"""Concentrated"" et ""HD"" ont les mêmes taux améliorés
Palier +7 = déblocage HD et BSB ",,,,,,,"HD = -1 refine si échoue
HD + BSB = pas de -1 refine si échoue",,,,,,,"⚠️Pas de mentions des BSB
       sur le guide de GNJOY (manquement ou voulontaire ?)",,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Refine ATK et Over refine,,,,,,,,,,,Refine Armor (accessoires inclus ?),,,,,,,,,
,Level arme,ATK / M.ATK par refine,,Over refine variance,,,,Over refine mediane,,,,Refine ,.+1 ,,.+2 ,.+3 ,.+4 ,.+5 ,,,
,,.+0~+15,.+16~20,> +6,> +7,> +8,,> +6,> +7,> +8,,Hard DEF,1,,4,9,16,25,,,
,1,2,16,,,1~3,,,,2,,,,,,,,,,,
,2,3,32,,1~5,,,,3,,,Refine ,.+6,,.+7,.+8,.+9,.+10 ,,,
,3,5,54,1~8,,,,"4,5",,,,Hard DEF,36,,49,64,81,100,,,
,4,8,87,1~14,,,,"7,5",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,"7,5",,,,,,,,,,,,,,,,,
