,,,,,,,,,,,,,
,,Résultats sur 1 h d’auto-farm (cart boost ~2/3 du temps) / prix avec overcharge lvl 10,,,,,,,,,,,
,,,,,,,,,,,,,
,,(loot à vendre NPC),,,,,,,,,,,
,,Q,Zeny,,Q,Zeny,,,,,,,
,mushroom spore,490,10780,,63,1386,,,,,,,
,snake scale,79,3950,,557,27850,,,Spore,Snake / Boa,,,
,pointed scale,8,336,,6,252,,base XP,350,366,,,
,spore doll,1,3410,,1,3410,,HP,223,203,,,
,,total →,18476,,total →,32898,,HIT (100%),223,229,,,
,,,,,,,,,,,,,
,,(loot utile plutôt à conserver),,,,,,,Map Spore,Map Snake / Boa,,,Zeny / u
,,Q,Zeny,,Q,Zeny,,,(payon flied 08),(Payon field 02),,mushroom spore,22
,strawberry,69,8556,,231,28644,,~ nbr kill Boa,99,696,,snake scale,50
,fly wing,44,6820,,51,7905,,~ nbr kill Spore,613,79,,pointed scale,42
,red herb,65,715,,70,770,,XP total théorique,159201,177003,,spore doll,3410
,venomous canine,10,910,,56,5096,,,,,,strawberry,124
,emveretarcon,2,1240,,9,5580,,"valeure totale
zeny npc",36717,80893,,fly wing,155
,,total →,18241,,total →,47995,,,,,,red herb,11
,,,,,,,,,,,,venomous canine,91
,,,,,,,,,,,,emveretarcon,620
