,,,,,,,,,,,,,,,,,,
,                        Stuff craft ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,Stuff,,,,,,,,,Costume,,,,,,
,Pièce,,Item,Obtention,Card,Enchant,,DEX ,LUK,INT,,Item,Obtention,Enchant,,DEX ,LUK,INT
,Upper,,Apple of archer (DEX +3),"- Archer skeletton
(0,02%)",x,x,,3,,,,(any costume),"(costume enchant
system)","DEX (upper)
(DEX +1)",,1,,
,Middle,,(à venir soon),,x,x,,,,,,(any costume),"(costume enchant
system)","DEX (middle)
(DEX +3)",,3,,
,Low,,"Poring village
Green onion","(instance
Poring village)",x,"DEX /
LUK +1",,1,,,,(any costume),"(costume enchant
system)","DEX (low)
(DEX +3)",,3,,
,Armor,,Nordfelt soldier armor,- Dwarf (? %),"Poring
(LUK +2)","DEX /
LUK +2",,3,2,,,x,,x,,,,
,Garment,,"subjugation garment
(new enchant patch 70)",(instance Orc),"(Mastering :
Non compté)","DEX /
LUK +2",,2,,,,x,,x,,,,
,Shoes,,Crystal pump,"- Marionette
(0,01%)",x,x,,,5,,,x,,x,,,,
,Weapon,,Shining Hammer (CS),"(rémplacé patch 70 :
2e wave arme star ?)","[Lunatic / Drop] x 3
(LUK +1 / DEX +1)",x,,3,5,,,x,,x,,,,
,Shield,,x,,x,x,,,,,,(à venir soon),,(à venir soon),,,,
,Acessory left,," +7 Ring of blue
Oath (DEX +4 / INT +4)",(instance GTB / Orc),"Zerom
(DEX +3)","DEX /
LUK +2",,9,,4,,Taming ring,"(PNJ 100k zeny
voir « Egg »)","Poring Lvl 2
(LUK +3)",,,3,
,Acessory right,," +7 Cursed emerald
Earring (DEX +4)",(instance GTB / Orc),"Zerom
(DEX +3)","DEX /
LUK +2",,9,,,,x,,x,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Total,,30,12,4,,,,Total,,7,3,0
,,,,,,"Total avec
Costume",,37,15,4,,,,,,,,
,,,,,,,,DEX,LUK,INT,,,,,,,,
