,,,,,,,,,
,Timeline TwRo,,,,,Timeline Global Zéro,,,
,Date,"jours depuis
l'ouverture",notes,liens,,Date,"jours depuis
l'ouverture",notes,liens
,03 / 07 / 2025,0,"🚀 Ouverture Serveur : classes (lvl 50 / 50)
⏳ 2h F2P pour les participants de l'OBT
📦 Pack de costumes 2025 cash shop",2025/07/03(四)《RO樂園》開服公告,,18 / 08 / 2026,0,🚀 ouverture serveur (classes 1 lvl 50 / 50),
,,,"📅 Event course XP individuelle (costume)
📅 Event capture de Qpet (24~48h abo)",衝等達人x寵物大師x馬拉松試煉,,,,🚀 multiples problèmes et compensation d'xp,
,10 / 07 / 2025,7,✨ Bonus + 40~50% XP (20 jours) lié au serveur,https://roz.gnjoy.com.tw/Notice/Notice_Info?id=217646,,26 / 08 / 2026,8,"📅 Event [Baby shard] (costume stat + card exclu
      + conso)",
,,,📅 Event [summer festival] (costume + conso),活動一.歡迎光臨夏日祭會場,,,,,
,17 / 07 / 2025,14,⚔️ Ajout Angeling + Deviling (payon field 04),https://roz.gnjoy.com.tw/Notice/Notice_Info?id=217674,,,,,
,,,⚔️ Instance Poring Village (lvl 30),《RO仙境傳說Online：樂園》從「心」出發！,,,,,
,,,⚙️ Battle Doll System,戰鬥娃娃系統介紹,,,,,
,23 / 07 / 2025,20,"🚀 Nouveau serveur ""Axi"" (surpopulation)",《RO仙境傳說Online：樂園》從「心」出發！,,,,,
,30 / 07 / 2025,27,"✨ Ajout Pyramid
✨ Ajout Orc Cave",https://roz.gnjoy.com.tw/Notice/Notice_Info?id=217708,,,,,
,,,👑 classe 2 (lvl 60 / 50),《RO仙境傳說Online：樂園》從「心」出發！,,,,,
,07 / 08 /2025,~ 35,"📅 Event collab [Kung Fu Panda] (costume CS)
📅 Event collab [Dragon 3] (costumes CS)
📅 Event [Fête des pères] (commemorative coin)",https://roz.gnjoy.com.tw/Notice/Notice_Info?id=217746,,,,,
,20 / 08 / 2025 ,~ 45,"✨ Ajout Labyrinth et Sphinx
✨ Ajout Geffen Tower et Abandonned Mine",https://roz.gnjoy.com.tw/Notice/Notice_Info?id=217779,,,,,
,28 / 08 / 2025 ,~ 55,"📅 Event [Qixi Festival] (conso + life assurance)
✨ Armes Star",https://roz.gnjoy.com.tw/Notice/Notice_Info?id=217801,,,,,
,03 / 09 / 2025,~ 60,"⚔️ Ouverture WoE
⚙️ Table XP réduite",https://roz.gnjoy.com.tw/Notice/Notice_Info?id=217815,,,,,
,,,⚙️ Détail WoE,聖物系統說明-淵冰之炎,,,,,
,17 / 09 / 2025,~ 75,"👑 base lvl 70
⚙️ Table XP réduite",《RO仙境傳說Online：樂園》從「心」出發！,,,,,
,,,"⚔️ Ajout MVP et Bounty (GTB, Maya, Moonlight,
Phreeoni, Eddga, Orc Warrior, Orc Hero)",《RO仙境傳說Online：樂園》從「心」出發！,,,,,
,,,⚔️ Instance GTB Culvert (lvl 59),《RO仙境傳說Online：樂園》從「心」出發！,,,,,
,,,⚔️ Instance Orc Dj (lvl 59),《RO仙境傳說Online：樂園》從「心」出發！,,,,,
,01 / 10 / 2025,~ 100,"🏡 Ajout Lutie
⚔️ Ajout MVP Osiris",https://roz.gnjoy.com.tw/Notice/Notice_Info?id=217886,,,,,
,,,⚙️ Relic System (wings of time rift),聖物系統說明-淵冰之炎,,,,,
,,,📅 Event [Automne] (costumes + conso),《RO仙境傳說Online：樂園》從「心」出發！,,,,,
,16 / 10 / 2025,~ 115,⚔️ Ajout MvP Tao Gunka + Drake,https://roz.gnjoy.com.tw/Notice/Notice_Info?id=217919,,,,,
,,,"⚔️ Event WoE (jackpot BsB et costumes
guildiens top 3 guildes)

",活動一、最強公會爭奪戰,,,,,
,23 / 10 / 2025,~ 125,⚙️ Card et coin echange machine (costumes),佛狼機,,,,,
,29 / 10 / 2025,~ 130,"👑 Base lvl 80 et table xp réduite
✨ Ajout Glast Heim
✨ Main story episode 1-2
",https://roz.gnjoy.com.tw/Notice/Notice_Info?id=217917,,,,,
,,,"📅 Event halloween (costumes + conso)
",《RO仙境傳說Online：樂園》從「心」出發！,,,,,
,05 / 11 / 2025,~ 135,⚔️ Ajout MvP Dark lord,《RO仙境傳說Online：樂園》從「心」出發！,,,,,
,13 / 11 / 2025,~ 145,"⚔️ Instance Maya cave (lvl 70)
",https://roz.gnjoy.com.tw/Notice/Notice_Info?id=217972,,,,,
,19 / 11 / 2025,~ 150,"⚔️ Event WoE partie 2 (costume et BsB
frag dans les TB)
",活動一、最強公會爭奪戰,,,,,
,27 / 11 / 2025,~ 160,"✨ Star weapon (vague 3)
",《RO仙境傳說Online：樂園》從「心」出發！,,,,,
,,,"📅 Event colab [Shiba Inu] (Qpet exclusif + xp pot
+ life assurance + conso + food)

",《RO仙境傳說Online：樂園》RO樂園x柴語錄,,,,,
,03 / 12 / 2025,~ 165,"⚔️ Ajout map WoE (Geffen?, Al de Baran)
⚔️ Ajout MvP (Baphomet, Pharaoh, Necromancer
, Dracula)",https://roz.gnjoy.com.tw/Notice/Notice_Info?id=218034,,,,,
,,,"📅 Event colab [BBQ chicken] (conso + abo 30j)
⚠️ NB : presque zéro chance d'avoir ça chez nous
",《RO仙境傳說Online：樂園》RO樂園xbb.q,,,,,
,11 / 12 / 2025,~ 175,"📅 Event [Noël] (costumes + xp pot + conso)
✨ Ajout stuff ""Lutie""
",大量魔物發生中！請冒險者盡速...？咦？聖誕魔物好可愛！,,,,,
,16 / 12 / 2025,~ 180,"👑 ""Skill breakthrough"" (skill rebirth + qqs classe 3)
👑 Job lvl 70
⚙️ Max HP / SP bonus 10% -> 25%
",進階技能,,,,,
,,,"⚔️ Ajout MvP Garm + Stormy knight
✨ Ajout Clock Tower
⚔️ Ajout guild dj (pvp, death penalty ?)",《RO仙境傳說Online：樂園》從「心」出發！,,,,,
,30 / 12 / 2025,~ 195,"🎣 Ajout pêche (new system pour xp)
",釣魚系統-破舊的釣竿,,,,,
,12 / 01 / 2026,~ 210,"👑 Lvl 90 / 70
✨ Ajout Turtle dj + Niflheim
👥 Ajout skin ""rebirth"" (1 coupon offert)
",https://roz.gnjoy.com.tw/Notice/Notice_Info?id=218117,,,,,
,,,⚙️ Table xp réduite,https://roz.gnjoy.com.tw/Notice/Notice_Info?id=218120,,,,,
,,,✨ Ajout lucky clover,幸運髮飾附加能力,,,,,
,20 / 01 / 2026,~ 220,"⚔️ Ajustement WoE skill -60% -> -75%
⚙️ Lucky enchant ajusté à 20%
",https://roz.gnjoy.com.tw/Notice/Notice_Info?id=218131,,,,,
,26 / 01 / 2026,~ 225,"⚔️ Ajout MvP Lord of the dead
",https://roz.gnjoy.com.tw/Notice/Notice_Info?id=218146,,,,,
,02 / 02 / 2026,~ 230,⚔️ Instance Izlude dj (lvl 80),https://roz.gnjoy.com.tw/Notice/Notice_Info?id=218152,,,,,
,,,👥 Max character slot 5 -> 6 (CS ?),https://roz.gnjoy.com.tw/Notice/Notice_Info?id=218163,,,,,
,09 / 02 / 2026,~ 240,"📅 Event [Nouvel an chinois] (costumes, xp pot, conso, food)
",《RO仙境傳說Online：樂園》樂園陪你度馬年新春,,,,,
,,,⚙️ Relic system (frost flame),聖物系統說明-淵冰之炎,,,,,
,,,"👑 Lvl 99 / 70
⚙️ Table xp réduite",《RO仙境傳說Online：樂園》從「心」出發！,,,,,
,,,🛡️ Star armor (vague 1),活化系統,,,,,
,09 / 03 / 2026,~ 270,"🥚 Up homonculus
⚙️ Table xp homonculus réduite
",https://roz.gnjoy.com.tw/Notice/Notice_Info?id=218246,,,,,
,,,"🏡 Ajout Kunlun et ⚔️ MvP Evil Snake lord
✨ Ajout stuff ""fantôme""",神仙之島- 崑崙,,,,,
,,,💍 Ajout mariage,結婚系統,,,,,
,,,⚙️ (statistiques TRWO),https://roz.gnjoy.com.tw/Notice/Notice_Info?id=218265,,,,,
,23 / 03 / 2025,~ 285,"⚔️ Armes double star (vague 1)
⚔️ Ajout MvP Turtle general
",https://roz.gnjoy.com.tw/Notice/Notice_Info?id=218272,,,,,
,,,"📅 Event colab [Heroes] (costume, stuff /
card effet durant l'event)",https://roz.gnjoy.com.tw/Notice/Notice_Info?id=218277,,,,,
,,,"⚔️ MvP boosté (GTB, Moonlight, Orc Hero,
Orc warrior, Phreoni, Pharao, Osiris, Drake,
Edga, Dark lord, Tao gunka)",https://roz.gnjoy.com.tw/Notice/Notice_Info?id=218285,,,,,
,,,"⚙️ Artiste collection system (costume shield enchant)
",次元蒐藏家×繪師典藏板,,,,,
,,,💎 Les raffines donnent plus d'atk / def,https://roz.gnjoy.com.tw/Notice/Notice_Info?id=217505,,,,,
,,,📅 Event [Festival d'été] (costumes + conso),《RO仙境傳說Online：樂園》從「心」出發！,,,,,
